Name    lms_peak    lms_sigma   lms_chi2/ndf  alpha_peak (g1) alpha_sigma (g2)alpha_chi2/ndf (g3)
W175    7114.080    133.110     0.801         8231.490        3028.233        15471.796       
W176    5284.544    113.330     1.094         6114.589        2249.459        11492.896       
W177    6761.345    114.257     1.081         7823.352        2878.085        14704.663       
W178    6021.519    122.675     0.624         6967.321        2563.165        13095.679       
W179    4733.605    97.224      0.631         5477.114        2014.942        10294.708       
W180    4692.579    94.350      1.425         5429.644        1997.478        10205.482       
W181    4817.852    100.232     1.079         5574.593        2050.803        10477.928       
W182    4419.281    94.160      0.710         5113.419        1881.145        9611.111        
W183    2623.120    79.687      0.249         3035.134        1116.577        5704.796        
W184    4261.960    101.072     0.817         4931.388        1814.178        9268.968        
W185    6732.731    112.684     1.055         7790.244        2865.905        14642.435       
W186    6293.063    112.912     0.378         7281.517        2678.753        13686.238       
W187    2503.399    78.304      0.734         2896.608        1065.615        5444.425        
W188    3606.644    88.109      0.717         4173.141        1535.231        7843.777        
W189    5332.048    102.993     0.550         6169.555        2269.680        11596.209       
W190    5701.786    119.347     0.748         6597.367        2427.065        12400.319       
W191    5943.965    106.971     0.762         6877.586        2530.153        12927.016       
W192    5039.449    101.709     0.871         5830.997        2145.130        10959.861       
W193    3251.078    83.092      0.378         3761.725        1383.878        7070.486        
W194    3149.458    82.405      1.046         3644.144        1340.622        6849.482        
W195    5515.156    115.865     0.984         6381.424        2347.623        11994.436       
W196    2355.587    66.271      0.711         2725.580        1002.697        5122.963        
W197    6169.405    114.997     1.279         7138.436        2626.115        13417.305       
W198    2881.675    83.750      1.516         3334.301        1226.635        6267.104        
W199    4844.986    100.562     0.704         5605.989        2062.353        10536.940       
W200    3719.550    93.141      1.261         4303.781        1583.292        8089.327        
W201    8890.411    156.643     0.842         10286.831       3784.359        19334.984       
W202    3193.289    70.034      1.618         3694.860        1359.280        6944.808        
W203    7032.236    121.887     0.591         8136.792        2993.394        15293.801       
W204    5349.386    106.962     1.186         6189.615        2277.060        11633.915       
W205    7235.328    156.970     1.561         8371.783        3079.844        15735.486       
W206    4987.987    99.782      0.694         5771.452        2123.224        10847.940       
W207    7328.145    129.502     0.643         8479.179        3119.353        15937.347       
W208    5026.414    103.820     0.876         5815.915        2139.581        10931.513       
W209    4996.539    104.206     1.015         5781.347        2126.864        10866.539       
W210    3573.070    88.669      1.107         4134.293        1520.940        7770.760        
W211    8448.121    140.342     1.096         9775.070        3596.091        18373.086       
W212    6001.917    115.137     1.256         6944.641        2554.821        13053.050       
W213    7220.360    129.021     1.216         8354.464        3073.473        15702.936       
W214    5640.286    108.912     0.885         6526.208        2400.886        12266.569       
W215    8200.848    141.830     1.371         9488.958        3490.835        17835.312       
W216    7187.462    123.997     0.670         8316.399        3059.469        15631.388       
W217    4151.835    95.675      0.342         4803.965        1767.302        9029.467        
W218    3256.148    84.622      0.412         3767.592        1386.036        7081.513        
W219    4606.696    96.842      1.098         5330.271        1960.921        10018.704       
W220    7690.670    128.966     1.070         8898.646        3273.668        16725.771       
W221    6552.180    107.254     0.672         7581.333        2789.050        14249.768       
W222    3312.679    78.104      0.701         3833.002        1410.100        7204.458        
W223    4255.820    87.757      1.380         4924.283        1811.564        9255.613        
W224    6590.316    121.123     0.417         7625.459        2805.283        14332.707       
W225    3736.886    93.995      0.593         4323.840        1590.671        8127.030        
W226    3588.116    93.020      1.647         4151.702        1527.344        7803.482        
W227    6069.342    116.828     2.323         7022.656        2583.522        13199.687       
W228    3384.372    95.126      1.291         3915.957        1440.617        7360.377        
W229    5754.888    112.401     0.800         6658.811        2449.669        12515.808       
W230    5602.121    107.031     0.966         6482.048        2384.641        12183.567       
W231    7066.271    132.527     1.010         8176.173        3007.882        15367.819       
W232    5813.640    107.575     0.799         6726.791        2474.678        12643.581       
W233    6143.902    112.387     0.699         7108.927        2615.260        13361.840       
W234    4516.320    107.387     0.405         5225.700        1922.451        9822.152        
W235    6866.444    125.465     1.395         7944.958        2922.822        14933.233       
W236    9409.566    155.172     0.668         10887.530       4005.347        20464.051       
W237    4637.405    100.342     0.804         5365.804        1973.993        10085.489       
W238    6719.324    114.776     1.110         7774.730        2860.198        14613.276       
W239    5364.795    110.492     1.220         6207.445        2283.619        11667.428       
W240    9579.267    143.470     0.558         11083.885       4077.583        20833.117       
W241    3467.555    85.582      0.820         4012.206        1476.026        7541.286        
